Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,AMPNC,BADROX,HIGHSD,NOISE,SPIKE,NOSIGNAL,EXPFAIL,MTP
F3,Sample 19,ACTB,UNKNOWN,SYBR,None,,,,18.17903137,17.85355377,0.460294843,,0.421336174,0.765217721,,,,TRUE,0.117639096,TRUE,3,14,1,84.0067749,,,,N,N,N,N,N,N,N,N
F4,Sample 19,ACTB,UNKNOWN,SYBR,None,,,,17.52807617,17.85355377,0.460294843,,0.421336174,0.765217721,,,,TRUE,0.117639096,TRUE,3,14,1,84.0067749,,,,N,N,N,N,N,N,N,N
F5,Sample 22,Glut 1,UNKNOWN,SYBR,None,,,,17.18805885,17.25952148,0.101064771,,,,,,,TRUE,0.014785846,TRUE,3,15,1,78.04005432,,,,N,N,N,N,N,N,N,N
F6,Sample 22,Glut 1,UNKNOWN,SYBR,None,,,,17.33098602,17.25952148,0.101064771,,,,,,,TRUE,0.014785846,TRUE,3,15,1,77.89096832,,,,N,N,N,N,N,N,N,N
F7,Sample 22,ACTB,UNKNOWN,SYBR,None,,,,18.4194355,18.18789673,0.32744661,,0.928373337,0.242317334,,,,TRUE,0.117639096,TRUE,3,13,1,84.00817871,,,,N,N,N,N,N,N,N,N
F8,Sample 22,ACTB,UNKNOWN,SYBR,None,,,,17.95635605,18.18789673,0.32744661,,0.928373337,0.242317334,,,,TRUE,0.117639096,TRUE,3,13,1,84.00817871,,,,N,N,N,N,N,N,N,N
F9,Sample 24,GK,UNKNOWN,SYBR,None,,,,25.82465553,25.76947403,0.07803978,,9.738857269,0.446397483,,,,TRUE,1.185499205,TRUE,3,18,1,69.99328613,,,,N,N,N,N,N,N,N,N
F10,Sample 24,GK,UNKNOWN,SYBR,None,,,,25.71429062,25.76947403,0.07803978,,9.738857269,0.446397483,,,,TRUE,1.185499205,TRUE,3,16,1,70.44072723,,,,N,N,N,N,N,N,N,N
F11,,Glut 1,UNKNOWN,SYBR,None,,,,20.56038284,20.64335632,0.11734087,,,,,,,TRUE,0.014785846,TRUE,3,18,1,77.89398956,,,,N,N,N,N,N,N,N,N
F12,,Glut 1,UNKNOWN,SYBR,None,,,,20.7263279,20.64335632,0.11734087,,,,,,,TRUE,0.014785846,TRUE,3,18,1,77.89398956,73.12271118,,,N,N,N,N,N,N,N,Y
G1,Sample 20,Glut 1,UNKNOWN,SYBR,None,,,,17.40335274,17.17549896,0.322232544,,,,,,,TRUE,0.014785846,TRUE,3,14,1,78.19471741,,,,N,N,N,N,N,N,N,N
G2,Sample 20,Glut 1,UNKNOWN,SYBR,None,,,,16.94764709,17.17549896,0.322232544,,,,,,,TRUE,0.014785846,TRUE,3,14,1,78.19471741,,,,N,N,N,N,N,N,N,N
G3,Sample 20,ACTB,UNKNOWN,SYBR,None,,,,17.81007195,17.78211975,0.039531723,,0.606618881,0.229561076,,,,TRUE,0.117639096,TRUE,3,12,1,84.0067749,,,,N,N,N,N,N,N,N,N
G4,Sample 20,ACTB,UNKNOWN,SYBR,None,,,,17.75416565,17.78211975,0.039531723,,0.606618881,0.229561076,,,,TRUE,0.117639096,TRUE,3,13,1,84.0067749,,,,N,N,N,N,N,N,N,N
G5,Sample 13,GK,UNKNOWN,SYBR,None,,,,25.92333984,25.78019714,0.202435702,,7.790293694,0.355045557,,,,TRUE,1.185499205,TRUE,3,18,1,69.69149017,,,,N,N,N,N,N,N,N,N
G6,Sample 13,GK,UNKNOWN,SYBR,None,,,,25.63705254,25.78019714,0.202435702,,7.790293694,0.355045557,,,,TRUE,1.185499205,TRUE,3,17,1,69.39332581,,,,N,N,N,N,N,N,N,N
G7,Sample 14,GK,UNKNOWN,SYBR,None,,,,25.77408409,25.54491043,0.324100494,,8.008336067,0.298079282,,,,TRUE,1.185499205,TRUE,3,18,1,69.99395752,,,,N,N,N,N,N,N,N,N
G8,Sample 14,GK,UNKNOWN,SYBR,None,,,,25.31573677,25.54491043,0.324100494,,8.008336067,0.298079282,,,,TRUE,1.185499205,TRUE,3,17,1,71.78301239,,,,N,N,N,N,N,N,N,N
G9,samp 21,GK,UNKNOWN,SYBR,None,,,,25.92506409,25.93026352,0.007354456,,9.031190872,0.056291033,,,,TRUE,1.185499205,TRUE,3,17,1,69.99328613,,,,N,N,N,N,N,N,N,N
G10,samp 21,GK,UNKNOWN,SYBR,None,,,,25.93546486,25.93026352,0.007354456,,9.031190872,0.056291033,,,,TRUE,1.185499205,TRUE,3,17,1,69.69499207,,,,N,N,N,N,N,N,N,N
H1,Sample17,Glut 1,UNKNOWN,SYBR,None,,,,18.41230392,18.29993629,0.158911824,,,,,,,TRUE,0.014785846,TRUE,3,14,1,78.34383392,,,,N,N,N,N,N,N,N,N
H2,Sample17,Glut 1,UNKNOWN,SYBR,None,,,,18.18756866,18.29993629,0.158911824,,,,,,,TRUE,0.014785846,TRUE,3,14,1,78.19471741,,,,N,N,N,N,N,N,N,N
H3,Sample17,ACTB,UNKNOWN,SYBR,None,,,,17.54023933,17.47753906,0.088670224,,-0.822396278,0.128676683,,,,TRUE,0.117639096,TRUE,3,15,1,84.0067749,,,,N,N,N,N,N,N,N,N
H4,Sample17,ACTB,UNKNOWN,SYBR,None,,,,17.4148407,17.47753906,0.088670224,,-0.822396278,0.128676683,,,,TRUE,0.117639096,TRUE,3,14,1,84.0067749,,,,N,N,N,N,N,N,N,N
H5,Sample16,GK,UNKNOWN,SYBR,None,,,,25.69349861,25.5997467,0.132583871,,8.373311043,0.258654296,,,,TRUE,1.185499205,TRUE,3,17,1,70.13873291,,,,N,N,N,N,N,N,N,N
H6,Sample16,GK,UNKNOWN,SYBR,None,,,,25.5059967,25.5997467,0.132583871,,8.373311043,0.258654296,,,,TRUE,1.185499205,TRUE,3,17,1,70.13873291,,,,N,N,N,N,N,N,N,N
H7,Sample 15,GK,UNKNOWN,SYBR,None,,,,29.42100525,29.54577446,0.176450312,,11.04381943,1.071899652,,,,TRUE,1.185499205,TRUE,3,22,1,70.88848877,,,,N,N,N,N,N,N,N,N
H8,Sample 15,GK,UNKNOWN,SYBR,None,,,,29.67054367,29.54577446,0.176450312,,11.04381943,1.071899652,,,,TRUE,1.185499205,TRUE,3,23,1,70.88848877,,,,N,N,N,N,N,N,N,N
H9,Sample 22,GK,UNKNOWN,SYBR,None,,,,25.1949749,25.24301529,0.067938022,,7.983491898,0.086109415,,,,TRUE,1.185499205,TRUE,3,16,1,71.18645477,,,,N,N,N,N,N,N,N,N
H10,Sample 22,GK,UNKNOWN,SYBR,None,,,,25.29105377,25.24301529,0.067938022,,7.983491898,0.086109415,,,,TRUE,1.185499205,TRUE,3,16,1,73.12535095,,,,N,N,N,N,N,N,N,N
