Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
F10,Sample 11,gk,UNKNOWN,SYBR,None,3.536772728,0.753627956,16.5980587,27.38792038,27.33176041,0.079422198,,2.957578659,0.518403232,,,-1.822433472,TRUE,1.084602833,TRUE,3,19,1,70.13975525,,,,N,N,N,N
F11,Sample 2,glut1,UNKNOWN,SYBR,None,,,,24.03552628,24.14420891,0.732542694,,,,,,,TRUE,1.230659912,TRUE,3,16,1,78.04040527,,,,Y,N,N,N
F12,Sample 2,glut1,UNKNOWN,SYBR,None,,,,23.16078949,24.14420891,0.732542694,,,,,,,TRUE,1.230659912,TRUE,3,15,1,77.89131927,,,,Y,N,N,N
G3,Sample 4,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,68.50055695,77.14515686,,,N,N,Y,Y
G4,Sample 4,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,34,1,68.79864502,76.69802094,79.23178101,,N,N,N,Y
G5,Sample 1,gk,UNKNOWN,SYBR,None,1,0.144646153,6.913422585,28.64900208,28.09337234,0.785777748,,4.780012131,0.648297727,,,0,TRUE,1.084602833,TRUE,3,21,1,69.39310455,,,,Y,N,N,N
G6,Sample 1,gk,UNKNOWN,SYBR,None,1,0.144646153,6.913422585,27.53774452,28.09337234,0.785777748,,4.780012131,0.648297727,,,0,TRUE,1.084602833,TRUE,3,19,1,69.24404144,,,,Y,N,N,N
G7,Sample 5,gk,UNKNOWN,SYBR,None,7.853346825,2.403313637,25.66250801,26.89520645,26.51062393,0.543883145,,1.806704521,0.397030085,,,-2.97330761,TRUE,1.084602833,TRUE,3,19,1,69.54440308,,,,Y,N,N,N
G8,Sample 5,gk,UNKNOWN,SYBR,None,7.853346825,2.403313637,25.66250801,26.12603951,26.51062393,0.543883145,,1.806704521,0.397030085,,,-2.97330761,TRUE,1.084602833,TRUE,3,18,1,69.09722137,,,,Y,N,N,N
G9,Sample 10,gk,UNKNOWN,SYBR,None,4.068734169,0.669486105,24.72732162,26.86948395,26.47934723,0.551736653,,2.755432129,0.605081081,,,-2.024580002,TRUE,1.084602833,TRUE,3,19,1,70.13975525,,,,Y,N,N,N
G10,Sample 10,gk,UNKNOWN,SYBR,None,4.068734169,0.669486105,24.72732162,26.08921051,26.47934723,0.551736653,,2.755432129,0.605081081,,,-2.024580002,TRUE,1.084602833,TRUE,3,19,1,69.84159851,,,,Y,N,N,N
H1,Sample 7,glut1,UNKNOWN,SYBR,None,,,,23.59942627,23.74589157,0.207131863,,,,,,,TRUE,1.230659912,TRUE,3,15,1,78.18484497,,,,N,N,N,N
H2,Sample 7,glut1,UNKNOWN,SYBR,None,,,,23.89235497,23.74589157,0.207131863,,,,,,,TRUE,1.230659912,TRUE,3,15,1,78.03580475,,,,N,N,N,N
H3,Sample 7,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,71.03431702,,,,N,N,Y,N
H4,Sample 7,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,70.88527679,,,,N,N,Y,N
H5,Sample 2,gk,UNKNOWN,SYBR,None,3.173095942,1.012445807,9.944767952,27.72543335,27.2583313,0.660582066,,3.11412096,0.593581557,,,-1.665891171,TRUE,1.084602833,TRUE,3,20,1,69.54216003,,,,Y,N,N,N
H6,Sample 2,gk,UNKNOWN,SYBR,None,3.173095942,1.012445807,9.944767952,26.79122925,27.2583313,0.660582066,,3.11412096,0.593581557,,,-1.665891171,TRUE,1.084602833,TRUE,3,19,1,71.03275299,,,,Y,N,N,N
H7,Sample 6,gk,UNKNOWN,SYBR,None,,,,25.04610634,25.07997131,0.047890957,,,,,,,TRUE,1.084602833,TRUE,3,17,1,72.82370758,,,,N,N,N,N
H8,Sample 6,gk,UNKNOWN,SYBR,None,,,,25.11383438,25.07997131,0.047890957,,,,,,,TRUE,1.084602833,TRUE,3,18,1,72.82370758,,,,N,N,N,N
H9,Sample 12,gk,UNKNOWN,SYBR,None,,,,25.21772003,25.32887077,0.157190889,,,,,,,TRUE,1.084602833,TRUE,3,18,1,72.37594604,,,,N,N,N,N
H10,Sample 12,gk,UNKNOWN,SYBR,None,,,,25.44002151,25.32887077,0.157190889,,,,,,,TRUE,1.084602833,TRUE,3,18,1,79.97895813,,,,N,N,N,N
