,Sample Name,Cт Mean,Category,Cт Mean actb,ΔCт Mean
0,1,21.52112198,CON,18.18733215,3.3337898300000006
1,8,20.67080307,CSD,17.70213127,2.9686718000000027
2,2,21.21960449,CON,18.54508018,2.674524309999999
3,9,20.88477707,CON,18.22233009,2.6624469799999986
4,11,21.30545807,CON,17.18633842,4.119119650000002
5,6,21.03568268,CSD,17.22795105,3.8077316299999993
6,10,19.74349213,CSD,17.655704500000002,2.0877876299999976
7,3,20.93116379,CON,18.20108795,2.730075839999998
8,12,21.07062149,CSD,18.58275986,2.487861630000001
9,4,20.66088486,CON,18.03811646,2.6227683999999982
10,7,20.81780434,CSD,18.41159439,2.4062099499999974
